asset_id,symbol,name_cn,asset_type,subtype,exchange_code,underlying_group,underlying_name_cn,underlying_name_en,mapping_confidence,mapping_method,data_source_1,data_source_2,source_status,notes
ETF_SSE_589270,589270,科创100ETF前海开源,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589280,589280,科创增强ETF华宝,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589300,589300,科创综指ETF嘉实,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589380,589380,科创AIETF富国,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589500,589500,科创综指ETF工银,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589520,589520,科创人工智能ETF华宝,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589550,589550,科创价值ETF华夏,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589560,589560,科创人工智能ETF汇添富,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589580,589580,科创综指ETF兴银,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
ETF_SSE_589600,589600,科创综指ETF富国,ETF,ETF,SSE,CHECK,CHECK,CHECK,CHECK,NEED_MANUAL_REVIEW,Tushare,AKShare,UNDERLYING_MAPPING_NEED_REVIEW,Step 5.1 fixed mapping generated from patched asset master.
