品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CFFEX,中国金融期货交易所,TF,年期国债期货当季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TF,年期国债期货隔季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TL,CFFEX年期国债期货,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TL,TL,15,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TL,年期国债期货下季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TL,年期国债期货当季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TL,年期国债期货隔季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TS,CFFEX年期国债期货,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TS,TS,33,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TS,年期国债期货下季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TS,年期国债期货当季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CFFEX,中国金融期货交易所,TS,年期国债期货隔季连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
